"sample_id","dir","quant_sf","quant_sf_size_bytes","files_in_dir","last_write_time_iso"
"SRR6191649","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191649_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191649_quant\quant.sf","11732893","11","2025-10-26T13:02:04"
"SRR6191650","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191650_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191650_quant\quant.sf","11726593","11","2025-10-26T13:02:04"
"SRR6191651","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191651_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191651_quant\quant.sf","11750263","11","2025-10-26T13:02:04"
"SRR6191652","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191652_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191652_quant\quant.sf","11738015","11","2025-10-26T13:02:05"
"SRR6191653","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191653_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191653_quant\quant.sf","11744360","11","2025-10-26T13:02:05"
"SRR6191654","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191654_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191654_quant\quant.sf","11747728","11","2025-10-26T13:02:05"
"SRR6191655","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191655_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191655_quant\quant.sf","11743113","11","2025-10-26T13:02:05"
"SRR6191656","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191656_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191656_quant\quant.sf","11726106","11","2025-10-26T13:02:05"
"SRR6191657","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191657_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191657_quant\quant.sf","11738368","11","2025-10-26T13:02:05"
"SRR6191658","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191658_quant","C:\Users\vince\Coursework\Transcriptomics\PRJNA413956\quants\SRR6191658_quant\quant.sf","11737066","11","2025-10-26T13:02:05"
